GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0022500010,21,1628368,De'Aaron Fox,1610612759,San Antonio Spurs,1,10,5,Made Shot,Running Pull-Up Jump Shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,14,-12,146,1,1,20251225,OKC,SAS
Shot Chart Detail,0022500010,24,1628368,De'Aaron Fox,1610612759,San Antonio Spurs,1,9,38,Made Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-178,179,1,1,20251225,OKC,SAS
Shot Chart Detail,0022500010,55,1628368,De'Aaron Fox,1610612759,San Antonio Spurs,1,7,15,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,200,168,1,1,20251225,OKC,SAS
Shot Chart Detail,0022500010,72,1628368,De'Aaron Fox,1610612759,San Antonio Spurs,1,5,26,Missed Shot,Turnaround Fadeaway shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,9,-75,59,1,0,20251225,OKC,SAS
Shot Chart Detail,0022500010,76,1628368,De'Aaron Fox,1610612759,San Antonio Spurs,1,4,59,Made Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-164,201,1,1,20251225,OKC,SAS
Shot Chart Detail,0022500010,150,1628368,De'Aaron Fox,1610612759,San Antonio Spurs,1,0,34,Made Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,18,26,183,1,1,20251225,OKC,SAS
Shot Chart Detail,0022500010,180,1628368,De'Aaron Fox,1610612759,San Antonio Spurs,2,10,34,Made Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,8,65,59,1,1,20251225,OKC,SAS
Shot Chart Detail,0022500010,291,1628368,De'Aaron Fox,1610612759,San Antonio Spurs,2,3,38,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,7,10,1,1,20251225,OKC,SAS
Shot Chart Detail,0022500010,311,1628368,De'Aaron Fox,1610612759,San Antonio Spurs,2,2,4,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-12,16,1,1,20251225,OKC,SAS
Shot Chart Detail,0022500010,331,1628368,De'Aaron Fox,1610612759,San Antonio Spurs,2,1,13,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,14,6,148,1,1,20251225,OKC,SAS
